Confusion Matrix
"[989, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 3, 0, 1]"
"[0, 977, 0, 0, 4, 0, 1, 0, 2, 0, 0, 0, 0, 8, 2, 0, 0, 2, 12, 0]"
"[7, 0, 998, 0, 0, 1, 1, 0, 13, 20, 0, 0, 0, 1, 0, 3, 1, 0, 6, 6]"
"[0, 0, 0, 996, 5, 0, 0, 0, 0, 4, 18, 1, 1, 0, 2, 0, 13, 26, 0, 0]"
"[1, 4, 0, 0, 957, 0, 15, 0, 0, 3, 0, 0, 0, 0, 2, 14, 0, 3, 1, 0]"
"[13, 2, 0, 0, 0, 954, 1, 7, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0]"
"[1, 0, 2, 0, 21, 0, 950, 12, 7, 3, 0, 0, 0, 1, 4, 4, 0, 3, 0, 0]"
"[7, 1, 1, 1, 0, 21, 10, 966, 0, 13, 0, 0, 0, 0, 6, 12, 0, 0, 0, 0]"
"[0, 0, 2, 0, 0, 4, 0, 0, 969, 9, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4]"
"[9, 8, 106, 0, 5, 1, 1, 0, 10, 835, 0, 0, 2, 3, 0, 0, 0, 0, 16, 36]"
"[1, 3, 0, 18, 15, 0, 1, 0, 0, 0, 838, 22, 0, 0, 1, 1, 56, 59, 0, 1]"
"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 4, 991, 0, 0, 1, 0, 9, 0, 0, 0]"
"[38, 1, 0, 18, 0, 2, 0, 0, 0, 1, 0, 1, 876, 54, 0, 1, 1, 0, 14, 1]"
"[1, 36, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 49, 957, 0, 0, 10, 0, 13, 3]"
"[0, 1, 0, 0, 2, 12, 8, 8, 0, 1, 3, 0, 0, 0, 903, 71, 2, 1, 0, 0]"
"[2, 0, 0, 1, 25, 0, 19, 13, 0, 0, 0, 1, 0, 0, 118, 829, 0, 0, 0, 0]"
"[3, 0, 0, 35, 0, 0, 11, 1, 0, 0, 6, 87, 0, 0, 0, 0, 866, 18, 0, 0]"
"[0, 1, 5, 131, 0, 0, 0, 0, 0, 3, 45, 7, 0, 1, 0, 1, 15, 814, 0, 0]"
"[0, 2, 1, 0, 0, 0, 0, 0, 3, 4, 0, 0, 1, 1, 0, 0, 0, 0, 941, 63]"
"[9, 1, 26, 0, 0, 0, 0, 0, 13, 10, 0, 0, 21, 0, 0, 0, 0, 0, 124, 804]"
